dashboard_id,embed_url
dfp1_q2,https://app.powerbi.com/view?r=eyJrIjoiYzE5YTEwZTUtZWYxYi00MWMwLWJhNGUtYWUwNWRiMDk5NTJlIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
dfp4_prod,https://app.powerbi.com/view?r=eyJrIjoiNDFlYTRlYmItNmU0NC00MjMzLTg1ZGYtYTRmNjYyYzNkZGE2IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
dfp4_q1,https://app.powerbi.com/view?r=eyJrIjoiNDFlYTRlYmItNmU0NC00MjMzLTg1ZGYtYTRmNjYyYzNkZGE2IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
dfp4_q2,https://app.powerbi.com/view?r=eyJrIjoiNDFlYTRlYmItNmU0NC00MjMzLTg1ZGYtYTRmNjYyYzNkZGE2IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
upcr_prod,https://app.powerbi.com/view?r=eyJrIjoiYzRlNDEyNmEtNDY1ZC00NmE2LTkzYjUtMjI5ZWMzYjNiMDA5IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
upcr_q1,https://app.powerbi.com/view?r=eyJrIjoiYzRlNDEyNmEtNDY1ZC00NmE2LTkzYjUtMjI5ZWMzYjNiMDA5IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
upcr_q2,https://app.powerbi.com/view?r=eyJrIjoiYzRlNDEyNmEtNDY1ZC00NmE2LTkzYjUtMjI5ZWMzYjNiMDA5IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
cost_overview,https://app.powerbi.com/view?r=eyJrIjoiYzk5ZjQ2NDQtZjYyNy00Mzc4LThlZDUtYWJhYzhlZjlmODc0IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9&pageName=0bbdd63643eb5ede008d
loss_analysis,https://app.powerbi.com/view?r=eyJrIjoiYzk5ZjQ2NDQtZjYyNy00Mzc4LThlZDUtYWJhYzhlZjlmODc0IiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9&pageName=ff5ad04e2ac762bb7ece
wip_tracker,https://app.powerbi.com/view?r=eyJrIjoiYzY2ODY0NmUtMWZjOS00ZmRiLTkwN2QtYTQyYzI2MTZhNGFlIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
WIP_department,https://app.powerbi.com/view?r=eyJrIjoiYzY2ODY0NmUtMWZjOS00ZmRiLTkwN2QtYTQyYzI2MTZhNGFlIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9&pageName=469b28c00aa2a617ca4a
sap_ctw,https://app.powerbi.com/view?r=eyJrIjoiODhmNzIxZWUtZjg5MS00ODcyLWE1MjctYzQyMDA5ZDFhZTFkIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
sap_dispatch,https://app.powerbi.com/view?r=eyJrIjoiODhmNzIxZWUtZjg5MS00ODcyLWE1MjctYzQyMDA5ZDFhZTFkIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
sap_whstk,https://app.powerbi.com/view?r=eyJrIjoiODhmNzIxZWUtZjg5MS00ODcyLWE1MjctYzQyMDA5ZDFhZTFkIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
sap_comparison,https://app.powerbi.com/view?r=eyJrIjoiODhmNzIxZWUtZjg5MS00ODcyLWE1MjctYzQyMDA5ZDFhZTFkIiwidCI6ImM4YTAwNDJhLTExZDctNDEzNy1iZGNlLTM2NzY3MjQ4YzA0YyJ9
